date,city,state,PM2_5,PM10,NO2,SO2,CO,O3,AQI,category
2023-01-01,Los Angeles,California,35.2,55.4,42.1,8.3,0.8,45.2,102,Unhealthy for Sensitive Groups
2023-01-02,Los Angeles,California,28.4,48.2,38.5,7.1,0.7,48.6,88,Moderate
2023-01-03,Los Angeles,California,42.1,68.3,51.2,9.8,1.1,41.3,118,Unhealthy for Sensitive Groups
2023-01-04,Los Angeles,California,18.3,32.1,29.4,5.2,0.5,52.4,65,Moderate
2023-01-05,Los Angeles,California,12.5,24.6,22.1,4.1,0.4,58.1,48,Good
2023-01-06,Los Angeles,California,55.8,82.4,63.2,12.4,1.4,38.2,148,Unhealthy
2023-01-07,Los Angeles,California,22.3,41.2,33.6,6.3,0.6,50.3,75,Moderate
2023-01-08,Los Angeles,California,8.4,18.3,18.2,3.2,0.3,61.4,35,Good
2023-01-09,Los Angeles,California,15.6,28.4,25.3,4.8,0.5,55.2,58,Moderate
2023-01-10,Los Angeles,California,68.2,95.1,72.4,15.3,1.7,33.1,168,Unhealthy
2023-01-01,New York,New York,22.1,38.4,55.3,10.2,0.9,40.1,78,Moderate
2023-01-02,New York,New York,18.5,32.1,48.2,8.8,0.8,43.5,65,Moderate
2023-01-03,New York,New York,30.4,52.3,61.4,12.1,1.1,37.2,95,Moderate
2023-01-04,New York,New York,12.3,22.4,38.5,6.4,0.6,48.3,48,Good
2023-01-05,New York,New York,8.2,16.3,28.4,4.8,0.4,53.1,32,Good
2023-01-06,New York,New York,45.6,72.1,75.3,14.8,1.5,32.4,128,Unhealthy for Sensitive Groups
2023-01-07,New York,New York,25.3,44.2,52.1,9.5,0.9,41.8,82,Moderate
2023-01-08,New York,New York,10.4,20.1,32.3,5.1,0.5,51.2,42,Good
2023-01-09,New York,New York,19.8,35.4,45.6,8.1,0.7,44.6,70,Moderate
2023-01-10,New York,New York,38.2,61.3,68.4,13.2,1.3,35.8,108,Unhealthy for Sensitive Groups
2023-02-01,Los Angeles,California,25.3,44.1,36.2,7.2,0.7,47.3,82,Moderate
2023-02-02,Los Angeles,California,31.5,51.2,43.8,8.5,0.9,44.1,98,Moderate
2023-02-03,Los Angeles,California,14.2,26.3,24.5,4.5,0.4,56.2,52,Good
2023-02-04,Los Angeles,California,48.3,75.2,58.4,11.8,1.3,39.4,132,Unhealthy for Sensitive Groups
2023-02-05,Los Angeles,California,20.1,37.4,31.2,6.1,0.6,50.8,72,Moderate
2023-02-01,New York,New York,16.4,29.3,42.1,7.5,0.7,46.2,60,Moderate
2023-02-02,New York,New York,28.5,48.4,58.3,11.1,1.0,38.5,90,Moderate
2023-02-03,New York,New York,9.3,18.2,26.4,4.2,0.4,54.3,38,Good
2023-02-04,New York,New York,42.1,67.3,71.2,13.8,1.4,34.1,118,Unhealthy for Sensitive Groups
2023-02-05,New York,New York,22.8,40.1,49.3,9.2,0.8,42.7,78,Moderate
2023-03-01,Los Angeles,California,19.5,34.2,30.1,5.8,0.6,51.4,68,Moderate
2023-03-02,Los Angeles,California,10.2,20.4,21.3,3.8,0.3,59.2,42,Good
2023-03-03,Los Angeles,California,38.4,62.1,50.2,10.5,1.1,40.3,112,Unhealthy for Sensitive Groups
2023-03-04,Los Angeles,California,26.7,45.3,38.4,7.8,0.8,46.8,85,Moderate
2023-03-05,Los Angeles,California,52.3,80.4,64.1,13.1,1.5,36.2,142,Unhealthy
2023-03-01,New York,New York,20.3,36.4,46.2,8.4,0.8,44.1,72,Moderate
2023-03-02,New York,New York,13.8,25.1,35.3,6.2,0.6,49.5,52,Good
2023-03-03,New York,New York,35.2,57.3,64.1,12.5,1.2,36.8,105,Unhealthy for Sensitive Groups
2023-03-04,New York,New York,17.4,31.2,41.5,7.8,0.7,45.3,63,Moderate
2023-03-05,New York,New York,29.6,50.4,55.2,10.8,1.0,40.1,92,Moderate
